                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98714,                 1.1192,                0.83251,                 0.6241,                0.53178,                0.57113,                0.41512,                0.85034,                0.97622,                0.82004,              0.0090666,              0.0090666,              0.0090666
                     36,                0.98836,                 1.1182,                0.83355,                0.58417,                0.54643,                0.57715,                0.42595,                0.83902,                0.95788,                0.81737,              0.0090383,              0.0090383,              0.0090383
                     37,                0.98604,                 1.1064,                0.83086,                0.59046,                0.56864,                 0.5814,                 0.4261,                0.84763,                0.96043,                 0.8177,                0.00901,                0.00901,                0.00901
                     38,                 0.9796,                 1.1027,                 0.8318,                0.55071,                0.54949,                0.57481,                0.42269,                0.83559,                0.96146,                 0.8172,              0.0089817,              0.0089817,              0.0089817
                     39,                0.96867,                 1.0839,                0.83004,                0.62849,                0.56013,                0.61038,                0.45194,                0.82608,                0.91426,                0.81669,              0.0089534,              0.0089534,              0.0089534
                     40,                 0.9713,                 1.0618,                0.83136,                0.62283,                0.55684,                0.60091,                0.44528,                0.82686,                0.92209,                 0.8167,              0.0089251,              0.0089251,              0.0089251
                     41,                0.95835,                 1.0547,                0.82858,                0.64144,                0.55638,                0.61162,                0.45353,                 0.8288,                0.91048,                0.81826,              0.0088969,              0.0088969,              0.0088969
                     42,                0.96443,                 1.0643,                0.82765,                0.61375,                 0.5683,                0.60298,                0.44344,                0.82549,                0.92291,                0.81789,              0.0088686,              0.0088686,              0.0088686
                     43,                 0.9611,                 1.0504,                 0.8291,                0.58377,                0.56837,                0.60658,                0.45189,                0.82095,                0.90575,                0.81463,              0.0088403,              0.0088403,              0.0088403
                     44,                0.95757,                 1.0236,                0.82964,                0.64862,                0.56535,                0.61065,                0.45272,                0.81886,                0.90369,                0.81392,               0.008812,               0.008812,               0.008812
                     45,                0.94911,                 1.0334,                0.82912,                0.65554,                0.56431,                0.61874,                 0.4564,                0.82602,                0.90249,                0.81452,              0.0087837,              0.0087837,              0.0087837
                     46,                0.96575,                 1.0185,                0.82964,                0.64942,                0.57557,                 0.6283,                0.46789,                0.81162,                0.88404,                0.81381,              0.0087554,              0.0087554,              0.0087554
                     47,                0.96074,                  1.019,                 0.8313,                0.67237,                0.55135,                0.62956,                0.46849,                0.81725,                0.86899,                0.81538,              0.0087271,              0.0087271,              0.0087271
                     48,                0.95574,                 1.0271,                0.82862,                0.64148,                 0.6001,                0.63674,                0.47304,                0.81635,                0.86069,                0.81418,              0.0086989,              0.0086989,              0.0086989
                     49,                0.95039,                  1.004,                0.82833,                 0.6268,                0.59553,                 0.6288,                0.46785,                0.80892,                0.86813,                0.81491,              0.0086706,              0.0086706,              0.0086706
                     50,                0.94358,                 1.0039,                0.82492,                0.65163,                0.59485,                0.64271,                0.47943,                 0.8069,                0.83959,                0.81373,              0.0086423,              0.0086423,              0.0086423
                     51,                0.95031,                0.99714,                0.83005,                0.65488,                0.59531,                0.64286,                0.48084,                0.80179,                0.83739,                0.81238,               0.008614,               0.008614,               0.008614
                     52,                0.94806,                0.97631,                0.82701,                0.64848,                0.58265,                0.63722,                0.47527,                0.80136,                0.83381,                0.81231,              0.0085857,              0.0085857,              0.0085857
                     53,                0.93336,                0.96865,                0.82805,                0.65729,                0.59526,                0.64841,                0.48346,                 0.7983,                  0.824,                0.81228,              0.0085574,              0.0085574,              0.0085574
                     54,                0.94819,                0.97798,                0.82912,                0.64982,                0.60832,                0.65518,                0.48755,                0.79388,                0.82679,                0.81254,              0.0085291,              0.0085291,              0.0085291
                     55,                0.94847,                0.99422,                0.82681,                0.65391,                0.61387,                0.65523,                0.48893,                0.79496,                0.82003,                0.81167,              0.0085009,              0.0085009,              0.0085009
                     56,                0.93907,                 0.9621,                0.82174,                0.65963,                0.61947,                0.65804,                 0.4912,                0.79369,                0.81627,                0.81116,              0.0084726,              0.0084726,              0.0084726
                     57,                0.94153,                0.96101,                0.82909,                0.66697,                0.62332,                 0.6662,                0.49985,                0.79313,                0.80278,                0.81287,              0.0084443,              0.0084443,              0.0084443
                     58,                0.94457,                0.96413,                0.82357,                0.67054,                0.62266,                 0.6668,                0.49921,                0.79335,                0.80201,                0.81213,               0.008416,               0.008416,               0.008416
                     59,                0.92569,                0.94995,                0.82332,                0.67328,                0.62075,                0.67107,                0.50135,                0.78735,                0.79756,                0.81093,              0.0083877,              0.0083877,              0.0083877
                     60,                0.93324,                0.93728,                 0.8223,                0.67171,                0.61988,                0.66753,                0.49897,                0.78437,                0.79938,                0.81105,              0.0083594,              0.0083594,              0.0083594
                     61,                 0.9395,                0.94311,                0.82953,                0.69111,                0.61562,                0.66812,                0.50112,                0.78446,                0.79319,                0.81101,              0.0083311,              0.0083311,              0.0083311
                     62,                0.92494,                0.92163,                0.82547,                0.68469,                0.62414,                0.67736,                0.50675,                0.78764,                0.78325,                0.81055,              0.0083029,              0.0083029,              0.0083029
                     63,                0.92487,                0.93873,                0.82515,                 0.6823,                0.63656,                0.67817,                0.50792,                0.78531,                0.77791,                 0.8113,              0.0082746,              0.0082746,              0.0082746
                     64,                 0.9251,                0.90165,                0.82406,                0.68915,                0.63647,                0.68235,                0.51154,                0.78344,                0.77086,                0.81058,              0.0082463,              0.0082463,              0.0082463
                     65,                0.92171,                0.91814,                0.82861,                0.67791,                0.63346,                0.68287,                0.51344,                0.77913,                0.76636,                0.81001,               0.008218,               0.008218,               0.008218
                     66,                0.92723,                 0.9143,                0.82259,                0.69324,                0.63854,                0.68756,                0.51644,                 0.7817,                0.76171,                0.81059,              0.0081897,              0.0081897,              0.0081897
                     67,                0.92925,                0.91115,                0.82181,                0.69175,                0.64842,                0.68894,                0.51817,                0.77585,                0.75837,                0.80921,              0.0081614,              0.0081614,              0.0081614
                     68,                0.91109,                0.89373,                0.82134,                0.71355,                0.63427,                0.69044,                0.52011,                0.77676,                0.75349,                0.80881,              0.0081331,              0.0081331,              0.0081331
                     69,                0.92402,                0.89682,                0.82196,                0.69978,                0.64054,                0.69721,                0.52459,                0.77654,                0.75417,                0.80891,              0.0081049,              0.0081049,              0.0081049
                     70,                0.91326,                0.88354,                 0.8251,                0.70654,                0.63445,                0.69764,                0.52556,                 0.7776,                0.75548,                0.80873,              0.0080766,              0.0080766,              0.0080766
                     71,                0.92017,                0.88921,                0.82586,                0.72589,                0.64387,                0.70548,                0.52882,                 0.7762,                 0.7446,                 0.8087,              0.0080483,              0.0080483,              0.0080483
                     72,                0.92834,                0.88844,                0.82272,                0.69601,                0.66489,                0.71147,                0.53302,                0.77511,                0.74031,                0.80886,                0.00802,                0.00802,                0.00802
